title,year,genre,actor,imdb_id,kind,matched_by,rating,votes
To All the Boys I’ve Loved Before,2018,Teen Comedies,"Lana Condor,Noah Centineo,Janel Parrish",3846674,movie,year and actor match,7.1,81266
Derek,2012,British TV Dramas,"Ricky Gervais,Kerry Godliman,Karl Pilkington",2616280,tv series,year and actor match,8,27046
Mob Psycho 100,2018,Action & Adventure Programmes,"Tatsuomi Hamada,Kazuki Namioka,Yuki Yoda",7701694,tv mini series,year and actor match,5.1,364
The New Legends of Monkey,2018,Kids' TV for ages 11 to 12,"Chai Hansen,Luciane Buchanan,Josh Thomson",6807662,tv series,year and actor match,6.5,2864
Somebody Feed Phil,2018,Social & Cultural Documentaries,Philip Rosenthal,7752034,tv series,year and title match,8.2,2783
Virgin River,2019,Medical TV Dramas,"Alexandra Breckenridge,Martin Henderson,Tim Matheson",9077530,tv series,year and actor match,7.5,10222
The Ridiculous 6,2015,Comedies,"Adam Sandler,Terry Crews,Jorge García",2479478,movie,year and actor match,4.8,42747
Take My Brother Away,2018,TV Shows Based on Comics,"Sun Qian,Joseph Zeng,Lv Xiao Yu",8894324,tv series,year and actor match,6.7,105
Someone Great,2019,Romantic Comedies,"Gina Rodriguez,Brittany Snow,DeWanda Wise",8075260,movie,year and actor match,6.2,16337
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,2014,Sitcoms,"Will Arnett,Aaron Paul,Alison Brie",4294938,episode,year and actor match,7.2,1742
Requiem,2018,Mystery Programmes,"Lydia Wilson,Joel Fry,Brendan Coyle",6712390,tv mini series,year and actor match,6.5,5094
Bard of Blood,2019,Action & Adventure Programmes,"Emraan Hashmi,Viineet Kumar,Sobhita Dhulipala",8069036,tv series,year and actor match,7,8345
Wanted,2016,Australian TV Programmes,"Rebecca Gibney,Geraldine Hakewill,Kerry Fox",5193358,tv series,year and actor match,7.7,3987
Answer for Heaven,2019,Crime TV Dramas,"Sunny Suwanmethanont,Kan Kantathavorn,Pattarasaya Kreuasuwansri",10383558,tv series,year and title match,,
Trial By Media,2020,Social & Cultural Documentaries,,11963042,tv series,year match,7.2,1638
Sugar Rush,2018,Reality TV,"Hunter March,Candace Nelson,Adriano Zumbo",8680560,tv series,year and actor match,7,1036
Dope,2017,True Crime Documentaries,,7782022,tv series,year match,7.3,1397
Case,2015,International Programmes,"Steinunn Ólína Þorsteinsdóttir,Magnús Jónsson,Þorsteinn Bachmann",5038858,tv series,year and actor match,7.2,2006
Million Pound Menu,2018,Reality TV,,8488494,tv series,year match,6.6,394
Kissing Game,2020,LGBTQ TV Programmes,"Caio Horowicz,Iza Moreira,Michel Joelsas",11131962,tv series,year and actor match,6.3,396
