media_id,category_id,genre
1016,show,Nature
1017,show,Docu Series
1018,show,Docu Series
1019,show,Docu Series
1020,show,Docu Series
1021,show,Travel Documentary
1022,show,Travel Documentary
1023,show,Docu Series
1024,show,Docu Series
1025,show,Docu Series
1026,show,Docu Series
1027,show,True Crime
1028,show,Docu Series
1029,show,True Crime
1030,show,Docu Series
1031,show,True Crime
1032,show,True Crime
1033,show,Docu Series
1034,show,Sport
1035,show,Sport
1036,show,True Crime
1037,show,Nature Documentary
1038,show,Culinary Art
1039,show,Docu Series
1040,show,Docu Series
1041,show,True Crime
1042,show,True Crime
1043,show,Docu Series
1044,show,Docu Series
1045,show,Docu Series
1046,show,Docu Series
1047,show,Docu Series
1048,show,Docu Series
1049,show,Docu Series
1050,show,Docu Series
1051,show,Docu Series
1052,show,Docu Series
1053,show,Sport
1054,show,Docu Series
1055,show,Docu Series
1056,show,Docu Series
1057,show,Docu Series
1058,show,True Crime
1059,show,True Crime
1060,show,Docu Series
1061,show,Docu Series
1062,show,Docu Series
1063,show,True Crime
1064,show,Docu Series
1065,show,Docudrama
1066,show,Nature Documentary
1067,show,Docu Series
1068,show,Docu Series
1069,show,Docu Series
1070,show,True Crime
1071,show,Docu Series
1072,show,Docu Series
1073,show,Docu Series
1074,show,Detective Fiction
1075,show,Psychological Thriller
1076,show,Alternative History
1077,show,Drama
1078,show,Legal Drama
1079,show,Historical Period Drama
1080,show,Crime Drama
1081,show,Historical Period Drama
1082,show,Crime Drama
1083,show,Historical Period Drama
1084,show,Anthology Horror
1085,show,Political Thriller
1086,show,Anthology
1087,show,Psychological Thriller
1088,show,Action
1089,show,Crime Drama
1090,show,Superhero
1091,show,Fantasy
1092,show,Drama
1093,show,Science Fiction
1094,show,Spy Thriller
1095,show,Drama
1096,show,Young Adult Drama
1097,show,Comedy
1098,show,Political Satire
1099,show,Teen Sitcom Fantasy
1100,show,Science Fiction
1101,show,Comedy Drama
1102,show,Comedy Drama
1103,show,Fantasy
1104,show,Comedy Drama
1105,show,Teen Sitcom
1106,show,Comedy Drama
1107,show,Comedy
1108,show,Comedy Drama
1109,show,Comedy Drama
1110,show,Superhero
1111,show,Fantasy
1112,show,Comedy Drama
1113,show,Comedy Drama
1114,show,Comedy Drama
1115,show,Comedy Drama
1116,show,Romantic Comedy Anthology
1117,show,Fantasy
1118,show,Science Fiction
1119,show,Comedy Horror
1120,show,Action Historical
1121,show,Comedy Drama
1122,show,Comedy
1123,show,Action Historical
1124,show,Thriller
1125,show,Thriller
1126,show,Crime Thriller
1127,show,Sitcom
1128,show,Comedy
1129,show,Sports Drama
1130,show,Drama
1131,show,Comedy Drama
1132,show,Horror Comedy
1133,show,Thriller
1134,show,Comedy
1135,show,Crime Thriller
1136,show,Romantic Comedy Drama
1137,show,Drama
1138,show,Sitcom
1139,show,Thriller
1140,show,Comedy Drama
1141,show,Historical Drama
1142,show,Comedy Drama
1143,show,Comedy Drama
1144,show,Crime Thriller
1145,show,Comedy Drama
1146,show,Crime Thriller
1147,show,Musical
1148,show,Crime Thriller Action
1149,show,Action Horror
1150,show,Romance Drama
1151,show,Sports Drama
1152,show,Science Fiction Comedy
1153,show,Romance Drama
1154,show,Drama
1155,show,Action Drama
1156,show,Comedy Drama
1157,show,Horror Drama
1158,show,Mystery Drama
1159,show,Comedy Drama
1160,show,Mystery Drama
1161,show,Mystery Drama
1162,show,Romance Drama
1163,show,Cooking Comedy
1164,show,Action Comedy Drama
1165,show,Sitcom
1166,show,Action Drama
1167,show,Political Thriller
1168,show,Romantic Comedy
1169,show,Sports Drama
1170,show,Comedy
1171,show,Comedy Drama Anthology
1172,show,Mystery Thriller
1173,show,Crime Drama
1174,show,Drama
1175,show,Historical Drama
1176,show,Adventure
1177,show,Musical Drama
1178,show,Crime Drama
1179,show,Crime Drama
1180,show,Documentary
1181,show,Documentary
1182,show,Documentary
1183,show,Sports Documentary
1184,show,Culinary Art
1185,show,Motoring
1186,show,Cooking Documentary
1187,show,Docudrama
1188,show,Documentary
1189,show,Sports Documentary
1190,show,Sports Documentary
1191,show,Sports Documentary
1192,show,Sports Documentary
1193,show,Sports Documentary
1194,show,Sports Documentary
1195,show,Documentary
1196,show,Travel Documentary
1197,show,Sports Documentary
1198,show,Sports Documentary
1199,show,Comedian Documentary
1200,show,Sports Documentary
1201,show,Docuseries
1202,show,Docuseries
1203,show,Sports Documentary
1204,show,Docuseries
1205,show,Sports Documentary
1206,show,Sports Documentary
1207,show,Sports Documentary
1208,show,Sports Documentary
1209,show,Travel Documentary
1210,show,Travel Documentary
1211,show,Sports Documentary
1212,show,Docuseries
1213,show,Sports Documentary
1214,show,Docuseries
1215,show,Sports Documentary
1216,show,Comedy Docudrama
1217,show,Cooking Documentary
1218,show,Drug Documentary
1219,show,Sports Documentary
1220,show,Sports Documentary
1221,show,Docuseries
1222,show,Cooking Show
